reward
208.43901
505.7525
674.03424
842.3182
946.5602
1157.913
821.23914
675.1148
745.77454
560.62805
403.2203
577.78076
509.5381
459.45615
1029.8912
796.5657
480.68497
710.297
837.52686
943.5337
860.7943
1151.3876
1068.1814
1060.5826
1147.4617
1063.2957
873.7786
1084.7625
890.53955
741.7311
1108.7738
702.1705
933.1068
904.9608
618.12683
1191.1003
621.8735
1190.1852
740.47986
1222.1654
