loss,margin,positive_reward,negative_reward,deterministic_return
0.0,0.0,0.0,0.0,5.954160485202476
337.91522216796875,222.54345999006182,-26.99858297314495,-249.54204296320677,1129.997768620705
340.30780029296875,169.93199671804905,177.61011927574873,7.67812255769968,1693.6097375869922
340.4565734863281,166.67171247210354,209.4975407347083,42.82582826260477,1449.9593448886164
340.4270935058594,166.5076260259375,240.52100313827395,74.01337711233646,3261.3958603649344
340.4440002441406,166.17967312969267,252.37620536983013,86.19653224013746,2172.670037214131
340.5396728515625,163.86965246405452,262.4513779953122,98.58172553125769,3213.167570039952
340.4925537109375,164.6108736153692,282.5908605903387,117.9799869749695,3190.499230122911
340.3891296386719,166.91357438266277,285.6390037536621,118.72542937099934,631.6395990609891
340.296875,169.03026110492647,300.6881603822112,131.65789927728474,676.4848566066892
340.336181640625,167.7955667246133,306.5122240036726,138.7166572790593,3584.7257093543117
340.3173522949219,168.58946043998003,313.73964735865593,145.1501869186759,749.9271927325542
340.3416748046875,167.82309067249298,316.89022417366505,149.06713350117207,1359.8807636488405
340.2946472167969,168.84142642468214,328.8175017386675,159.97607531398535,1463.6486968914312
340.3065185546875,168.73683432489634,339.37304958701134,170.636215262115,2018.1706409013063
340.3757019042969,166.35827581118792,337.96148754656315,171.60321173537523,748.2303639158372
340.16943359375,171.21777658723295,337.7459482252598,166.52817163802683,585.8951695068425
340.23468017578125,170.13865186460316,355.1004541069269,184.96180224232376,1796.9371572883679
340.19622802734375,170.0968164689839,352.255872964859,182.15905649587512,1127.038851741903
340.2128601074219,170.514899648726,359.10303711891174,188.58813747018576,1525.976423839702
340.17596435546875,170.97938823420554,368.0071571469307,197.02776891272515,2295.6699670096355
340.2093811035156,170.01942228153348,362.6469208598137,192.6274985782802,1234.0357988656467
340.20556640625,170.5855012498796,373.57740457355976,202.99190332368016,1029.5808557841322
340.16253662109375,171.22804526984692,373.25708132982254,202.02903605997562,1215.2200518338998
340.2101745605469,170.03735156729817,380.55620580911636,210.5188542418182,1364.731518476313
340.167236328125,170.95062164217234,375.5864207446575,204.63579910248518,3470.2463957200675
340.1061096191406,172.0848167957738,386.3563822507858,214.27156545501202,3297.0650537429924
340.1257019042969,172.1269958782941,382.68223021924496,210.55523434095085,1698.7979639220835
340.1365966796875,171.49192297831178,390.0313943326473,218.53947135433555,1709.0628065874994
340.2064514160156,170.37872994318604,390.11386200785637,219.73513206467032,1012.9392568292006
340.10772705078125,172.3617415651679,402.69972863793373,230.33798707276583,1600.6532513003542
340.2298278808594,169.39365392178297,392.86472575366497,223.471071831882,1434.6802483830597
340.0954895019531,172.70996129885316,398.09213139116764,225.38217009231448,1101.4752753525888
340.1235656738281,171.42327340319753,396.317626029253,224.89435262605548,1019.1510007526163
340.16021728515625,170.88303695991635,397.87987154722214,226.99683458730578,57.862588684922194
340.0860900878906,172.68009364791214,402.59588116407394,229.9157875161618,1342.824247151752
340.1473083496094,171.51805593445897,404.4307613372803,232.9127054028213,1467.6127820158806
340.16741943359375,171.15610479563475,408.1922949552536,237.03619015961885,1548.80301262395
340.0057373046875,174.28065012395382,406.5629508495331,232.28230072557926,1300.4785695493624
340.09588623046875,172.04363707825541,411.04277554154396,238.99913846328855,1235.5696279586084
340.1449890136719,171.36808294802904,415.19036860764027,243.82228565961123,3192.7606218665633
340.1347961425781,171.7322896644473,421.66077703237534,249.92848736792803,3209.858219187651
340.047119140625,173.2948355525732,422.83806252479553,249.54322697222233,1062.8672809530553
340.1830749511719,170.80199607089162,420.3534660935402,249.55147002264857,1650.9841601554654
340.0386657714844,173.20164676755667,416.9194188416004,243.71777207404375,1800.4370915403415
340.0062561035156,174.46215319633484,423.47232019901276,249.01016700267792,1392.7361392318026
340.1449890136719,171.10801661387086,424.4926053881645,253.38458877429366,1232.8798967346122
340.0843811035156,173.42513736337423,429.9689285159111,256.54379115253687,59.13665473855315
340.1286315917969,171.63005672581494,422.29689386487007,250.66683713905513,1157.3415416784487
340.0514221191406,173.2473677713424,418.53362676501274,245.28625899367034,1694.3795719759219
340.138916015625,170.87706176936626,432.3770535290241,261.49999175965786,1390.975930106818
340.1758117675781,170.29246867448092,423.41432335972786,253.12185468524694,957.1644529346506
340.1271057128906,171.69233293831348,429.1805723309517,257.4882393926382,999.1349833930412
