loss,greedy_rewards,sample_rewards
0.9005081057548523,[891.88635],[230.92036]
0.9244965314865112,[934.5687],[294.7581]
1.0677138566970825,[946.401],[395.47906]
0.8538327217102051,[926.74866],[366.09747]
0.8929136991500854,[948.04065],[481.2998]
0.7570937275886536,[905.58954],[469.22748]
0.8067041635513306,[996.21515],[474.3037]
0.7291940450668335,[1098.4232],[431.86908]
0.779912531375885,[1057.8318],[443.15082]
0.7596582174301147,[1187.808],[479.24432]
0.8047367930412292,[1791.5277],[519.80536]
0.74596107006073,[1554.1389],[517.3409]
0.8507518768310547,[1617.1975],[770.20856]
0.8776919841766357,[1582.7976],[723.0382]
0.7760473489761353,[2171.6653],[585.04346]
0.7543061375617981,[1715.9948],[631.30756]
0.6448770761489868,[2320.6646],[821.8574]
0.7250795364379883,[2077.4866],[680.1899]
0.6872258186340332,[2099.0996],[642.4095]
0.6571794152259827,[2448.8977],[829.0011]
0.8695224523544312,[2000.8785],[677.37476]
0.7769875526428223,[2427.6648],[745.00574]
0.5899344086647034,[2302.892],[734.0114]
0.4700284004211426,[2029.667],[794.498]
0.6492832899093628,[2337.84],[841.1834]
0.5883923768997192,[1993.3922],[762.2485]
0.43506374955177307,[2115.3906],[814.64355]
0.45065850019454956,[2423.328],[904.3265]
0.6915380954742432,[2448.7815],[641.41815]
0.5098240375518799,[2304.3052],[1029.9163]
2.0972094535827637,[2291.7632],[880.0584]
0.566592812538147,[2219.843],[849.546]
0.8772349953651428,[2220.771],[1063.1614]
0.5772371292114258,[2183.239],[881.68274]
0.6144285202026367,[2488.3354],[895.5622]
0.5984286665916443,[2396.4602],[629.27246]
0.4744521975517273,[2021.3066],[948.55304]
0.5025116801261902,[2585.2563],[1305.6755]
0.5799875855445862,[2354.3516],[1253.674]
0.4411960244178772,[2354.1975],[1199.7307]
