loss,greedy_rewards,sample_rewards,margin,positive_reward,negative_reward
0.6931471824645996,[29.801056],[-7.1296296],0.0,0.0,0.0
0.6817344427108765,[-0.20245707],[-172.26201],0.23398222122341394,0.24082958698272705,0.0068473657593131065
0.6748730540275574,[208.92215],[7.820227],0.37992142094299197,0.3753163814544678,-0.0046050394885241985
0.6676265001296997,[14.251773],[-0.40298262],0.5434303109941538,0.5431985259056091,-0.00023178508854471147
0.6540770530700684,[14.201712],[36.749763],0.8496341221034527,0.8301803469657898,-0.019453775137662888
0.6530400514602661,[-2.907557],[-57.682808],0.8886733688414097,0.8853446245193481,-0.0033287443220615387
0.637871503829956,[295.14423],[-120.93772],1.288070809096098,1.2932400703430176,0.005169261246919632
0.639477014541626,[-5.6505976],[-0.8261961],1.2446490867587272,1.2448222637176514,0.0001731769589241594
0.6318874359130859,[15.252955],[-23.783564],1.4091985921841115,1.4079999923706055,-0.0011985998135060072
0.6229943037033081,[15.416956],[20.081648],1.7592786066234112,1.7801826000213623,0.020903993397951126
0.6173921823501587,[13.15566],[-40.758415],1.8500918671488762,1.8159793615341187,-0.03411250561475754
0.6116907596588135,[2.335959],[-55.828545],1.9886425081640482,1.997648000717163,0.009005492553114891
0.6224993467330933,[6.6356955],[-95.28279],1.7686676029115915,1.7612531185150146,-0.007414484396576881
0.6056199669837952,[33.980106],[-1.9489008],2.259609803557396,2.306708574295044,0.04709877073764801
0.6168960332870483,[163.02812],[-80.755325],2.050013191998005,2.154261350631714,0.10424815863370895
0.6186498999595642,[233.77327],[-3.3908436],1.9209576584398746,1.9629729986190796,0.04201534017920494
0.5936776399612427,[-4.7715826],[-29.042297],2.6021919697523117,2.666799545288086,0.06460757553577423
0.6276304721832275,[1.5487697],[-24.609674],1.6988486796617508,1.7983472347259521,0.09949855506420135
0.5843032598495483,[164.35922],[-53.697624],2.7615730836987495,2.7961106300354004,0.03453754633665085
0.5849213600158691,[2.7459116],[-85.78738],2.975436992943287,2.951456069946289,-0.023980922996997833
0.5983538627624512,[164.43674],[-23.482634],2.682668775320053,2.8396964073181152,0.15702763199806213
0.5979291200637817,[226.11482],[-10.339685],2.5434656143188477,2.641728639602661,0.09826302528381348
0.5857094526290894,[4.9066057],[-91.11166],2.9265779280103743,2.9341135025024414,0.007535574492067099
0.6131030321121216,[157.49852],[-16.266739],2.3058965019881725,2.3411388397216797,0.035242337733507156
0.5464401245117188,[4.6281385],[13.023648],4.289366282522678,4.386099338531494,0.09673305600881577
0.577212393283844,[9.579996],[-23.00149],3.241250529885292,3.427417755126953,0.18616722524166107
0.5889616012573242,[210.81955],[-90.07273],3.0093315839767456,3.057209014892578,0.04787743091583252
0.6387063264846802,[142.3982],[100.6086],1.9137446284294128,2.235645294189453,0.3219006657600403
0.5843756198883057,[7.76945],[27.682316],3.11015921831131,3.280862808227539,0.17070358991622925
0.5674213171005249,[6.419259],[-77.78928],3.629167824983597,3.929544448852539,0.30037662386894226
0.61566561460495,[4.2108703],[-19.477425],2.751678705215454,3.4141178131103516,0.6624391078948975
0.5795957446098328,[-3.058899],[-26.719437],3.5645863115787506,3.7059226036071777,0.14133629202842712
0.5715091228485107,[10.340065],[-73.99736],3.6765589118003845,3.825969696044922,0.14941078424453735
0.6382793188095093,[97.458725],[-87.1603],1.816897064447403,2.1828722953796387,0.3659752309322357
0.5747196674346924,[5.2147493],[-114.49579],3.4051493108272552,3.5364291667938232,0.131279855966568
0.57856285572052,[-1.9495701],[-84.5347],3.52154877781868,3.7809791564941406,0.2594303786754608
0.6121826767921448,[85.18175],[-51.79723],2.6544418334960938,2.9127402305603027,0.258298397064209
0.5761576294898987,[229.8009],[-41.172745],3.8705314993858337,4.329157829284668,0.45862632989883423
0.5587369203567505,[75.147354],[-10.061441],4.092707768082619,4.140463829040527,0.04775606095790863
0.6429067850112915,[7.3502555],[25.444767],1.602931410074234,1.7543096542358398,0.15137824416160583
