loss,margin,positive_reward,negative_reward,deterministic_return,stochastic_return
0.0,0.0,0.0,0.0,9.216415297669572,6.523458833839572
198.72364807128906,1354.6010303457733,865.8535474201199,-488.74748292565346,122.41847418876358,114.2404091894476
165.82235717773438,1593.5854411653127,1520.6429331302643,-72.94250803504838,946.3087778657657,603.6918245322529
171.790283203125,1494.5400501191616,1742.6349563598633,248.09490624070168,1703.4876073984442,373.7929306370842
172.78369140625,1447.0793619609904,1518.459776878357,71.38041491736658,1325.8871135573993,408.00674398381
172.751220703125,1414.8687741759932,554.2573661844945,-860.6114079914987,3016.565220870343,221.94181910799117
172.1301727294922,1401.0936519019306,-1260.0575860626996,-2661.15123796463,3556.439834700536,560.8442610647994
171.19287109375,1388.926152318716,-4222.017397791147,-5610.943550109863,2485.2132770804847,525.5076560544613
169.1224365234375,1385.8256304264069,-8781.110894441605,-10166.936524868011,3548.562867667035,316.7353813696372
168.26287841796875,1377.9287934303284,-15224.856462955475,-16602.785256385803,1518.774498555537,479.1606542015481
167.82521057128906,1373.4980850219727,-30993.80628490448,-32367.304369926453,1421.7529628228594,817.2344709886103
167.24832153320312,1367.2946739196777,-73077.95028686523,-74445.24496078491,2272.918513692232,777.3765382692856
165.07162475585938,1364.7196807861328,-166496.94332122803,-167861.66300201416,3574.349856407318,561.6765745850798
165.19876098632812,1358.7216186523438,-332647.4747772217,-334006.196395874,3594.8252671009554,648.5702674146415
166.6896514892578,1353.1328887939453,-717096.439163208,-718449.572052002,3565.657156407561,507.7845504644947
163.98800659179688,1355.3149719238281,-1559512.587677002,-1560867.9026489258,3590.417419476372,806.8782876153228
163.3321990966797,1351.7071533203125,-2866198.8170776367,-2867550.524230957,2055.878130709148,640.7378108991576
164.17140197753906,1348.3589477539062,-5486991.18359375,-5488339.542541504,3575.87486148003,720.3958497626581
163.75009155273438,1347.90283203125,-6842972.094604492,-6844319.997436523,1433.2855025479555,669.7764030752793
162.7583465576172,1349.948974609375,-8513812.193969727,-8515162.142944336,3580.0755593732883,929.2252501999297
162.76522827148438,1348.305419921875,-7732640.179443359,-7733988.484863281,3597.1839326687314,621.0014273662657
162.32736206054688,1345.2449951171875,-8853993.569580078,-8855338.814575195,3618.3553813644708,665.2206299451975
162.001708984375,1342.5015869140625,-8622693.580688477,-8624036.08227539,3587.8557130136674,595.8972839907204
164.27708435058594,1337.247314453125,-9680335.808105469,-9681673.055419922,3616.8582339716127,605.7185384638251
163.4562530517578,1335.043212890625,-8137624.466064453,-8138959.509277344,3593.625280061615,578.2236938685594
161.08184814453125,1339.3826904296875,-7002177.062866211,-7003516.445556641,3605.916989099579,743.2928102556785
163.10037231445312,1333.3551635742188,-7529714.860168457,-7531048.215332031,3581.7471560712115,654.0496261316009
163.28672790527344,1331.4136962890625,-7263503.062744141,-7264834.47644043,3593.742199070933,450.78949996004263
164.75335693359375,1327.328857421875,-7251157.816894531,-7252485.145751953,3620.021212041316,630.3407331730301
163.0159149169922,1326.069580078125,-6574875.858642578,-6576201.928222656,3630.1729234077548,747.6318952840353
163.87001037597656,1329.078857421875,-6250927.038818359,-6252256.117675781,3620.6056475438604,317.6951687957057
164.2986297607422,1320.0836181640625,-6779665.674072266,-6780985.75769043,3606.104982163299,342.6724965841426
162.3051300048828,1325.6259765625,-7030356.842651367,-7031682.46862793,3617.5871354683013,661.5523688915155
172.31407165527344,1301.127197265625,-7227804.020996094,-7229105.148193359,3616.859422500997,933.9967365826819
162.5748291015625,1325.00390625,-8114132.183105469,-8115457.187011719,3578.6287296324626,404.6947424406341
162.97811889648438,1324.85009765625,-8765785.262207031,-8767110.112304688,3631.3246883840297,626.8112709921794
162.072998046875,1321.3773193359375,-10034880.1875,-10036201.564819336,1586.9600599961632,856.2389782361313
167.14752197265625,1307.941162109375,-10694412.132080078,-10695720.073242188,3623.2581806765807,490.011771057183
163.3262481689453,1319.0029296875,-12799105.623291016,-12800424.626220703,3620.8875469980635,99.98261367452861
164.4811553955078,1314.853515625,-12996133.478271484,-12997448.33178711,3603.784973990509,525.686929725311
162.3258819580078,1319.20849609375,-14447187.564941406,-14448506.7734375,3619.7869551121844,536.724860893299
166.58486938476562,1305.01611328125,-17848850.89038086,-17850155.90649414,3616.0246371253384,515.4960714348849
162.21038818359375,1315.53125,-19755801.564941406,-19757117.096191406,3637.603230837081,828.8017280439659
171.96707153320312,1293.1651611328125,-20529276.770996094,-20530569.936157227,3606.103306298621,648.7517697082972
160.96347045898438,1314.4033203125,-20747311.997070312,-20748626.400390625,3576.8093136402504,696.2655114084339
166.5438995361328,1303.1689453125,-21857473.303222656,-21858776.47216797,3599.0037386957433,290.91055128584435
176.65249633789062,1276.4013671875,-27429816.33544922,-27431092.736816406,3633.7145993945364,382.53364081569833
165.59471130371094,1305.423828125,-26279958.643066406,-26281264.06689453,3594.899853398403,404.82554190541
162.57821655273438,1308.75390625,-27788915.790527344,-27790224.544433594,3609.7129567166053,721.5272110701296
187.0296173095703,1252.5859375,-26167636.893066406,-26168889.479003906,3642.022876657392,665.3449305339471
162.9578399658203,1306.03515625,-29975675.205566406,-29976981.240722656,3631.4174445015487,719.1530474748155
162.5242462158203,1309.437744140625,-29699420.841064453,-29700730.278808594,3631.3947915869044,648.1004809462971
165.2964630126953,1303.287109375,-25661628.965820312,-25662932.252929688,3641.253781930767,684.6750249559886
164.5428009033203,1305.4462890625,-28009125.328125,-28010430.774414062,3644.1157447410774,758.7344480855397
164.80548095703125,1301.9658203125,-29978336.69580078,-29979638.661621094,3617.9093002260506,403.2739231313757
